Country,Land Year,Land Area,Population Year,Population,Coastline Length,MAT Year,MAT
Oman,2018,30950,2018,4829.473,"2,092.00",2011,25.6
Pakistan,2018,77088,2018,212228.286,"1,046.00",2011,20.2
Palau,2018,46,2018,17.907,"1,519.00",2011,27.6
Palestine,2018,602,2018,4862.979,40,2011,19.2
Panama,2018,7417.7,2018,4176.869,"2,490.00",2011,25.4
Papua New Guinea,2018,45286,2018,8606.323,"5,152.00",2011,25.25
Paraguay,2018,39730,2018,6956.066,0,2011,23.55
Peru,2018,128000,2018,31989.26,"2,414.00",2011,19.6
Philippines,2018,29817,2018,106651.394,"36,289.00",2011,25.85
Poland,2018,30617,2018,37921.592,440,2011,7.85
Portugal,2018,9160.56,2018,10256.193,"1,793.00",2011,15.15
Puerto Rico,2018,887,2018,3039.596,501,2011,25.25
Qatar,2018,1149,2018,2781.682,563,2011,27.15
"Korea, Republic of",2018,9752,2018,51171.706,"2,413.00",2011,11.5
Republic of Moldova,2018,3288.53,2018,4051.944,0,2011,9.45
Romania,2018,23008,2018,19506.114,225,2011,8.8
Russia,2018,1637687,2018,145734.038,"37,653.00",2011,-5.1
Rwanda,2018,2467,2018,12301.97,0,2011,17.85
Saint Helena,2018,39,2018,6.035,180,,
Saint Kitts and Nevis,2018,26,2018,52.441,135,2011,24.5
Saint Lucia,2018,61,2018,181.889,158,2011,25.5
Saint Pierre and Miquelon,2018,23,2018,5.849,120,,
Saint Vincent and the Grenadines,2018,39,2018,110.211,84,2011,26.8
Samoa,2018,283,2018,196.129,403,2011,26.7
San Marino,2018,6,2018,33.785,0,2011,11.85
Sao Tome and Principe,2018,96,2018,211.028,209,2011,23.75
Saudi Arabia,2018,214969,2018,33702.756,"2,640.00",2011,24.65
Senegal,2018,19253,2018,15854.323,531,2011,27.85
Serbia,2018,8746,2018,8802.754,0,2011,10.55
Seychelles,2018,46,2018,97.096,491,2011,27.15
Sierra Leone,2018,7218,2018,7650.15,402,2011,26.05
Singapore,2018,70.9,2018,5757.499,193,2011,26.45
Slovakia,2018,4808,2018,5453.014,0,2011,6.8
Slovenia,2018,2013.64,2018,2077.837,46.6,2011,8.9
Solomon Islands,2018,2799,2018,652.857,"5,313.00",2011,25.65
Somalia,2018,62734,2018,15008.226,"3,025.00",2011,27.05
South Africa,2018,121309,2018,57792.518,"2,798.00",2011,17.75
South Sudan,2018,63192.8123,2018,10975.927,0,,
Spain,2018,49960.3479,2018,46692.858,"4,964.00",2011,13.3
Sri Lanka,2018,6186.4,2018,21228.763,"1,340.00",2011,26.95
Sudan,2018,184923.3715,2018,41801.533,853,2011,26.9
Suriname,2018,15600,2018,575.99,386,2011,25.7
Sweden,2018,40731,2018,9971.638,"3,218.00",2011,2.1
Switzerland,2018,3951.603,2018,8525.611,0,2011,5.5
Syrian Arab Republic,2018,18363,2018,16945.057,193,2011,17.75
Tajikistan,2018,13879,2018,9100.835,0,2011,2
Thailand,2018,51089,2018,69428.453,"3,219.00",2011,26.3
Timor-Leste,2018,1487,2018,1267.974,706,2011,25.25
Togo,2018,5439,2018,7889.093,56,2011,27.15
Tokelau,2018,1,2018,1.319,101,,
Tonga,2018,72,2018,103.197,419,2011,25.25
Trinidad and Tobago,2018,513,2018,1389.843,362,2011,25.75
Tunisia,2018,15536,2018,11565.201,"1,148.00",2011,19.2
Turkey,2018,76963,2018,82340.088,"7,200.00",2011,11.1
Turkmenistan,2018,46993,2018,5850.901,0,2011,15.1
Turks and Caicos Islands,2018,95,2018,37.665,389,2011,28
Tuvalu,2018,3,2018,11.508,24,2011,28
Uganda,2018,20052,2018,42729.036,0,2011,22.8
Ukraine,2018,57940,2018,44246.156,"2,782.00",2011,8.3
United Arab Emirates,2018,7102,2018,9630.959,"1,318.00",2011,27
United Kingdom,2018,24193,2018,67141.684,"12,429.00",2011,8.45
United Republic of Tanzania,2018,88580,2018,56313.438,"1,424.00",2011,22.35
United States,2018,914742,2018,327096.265,"19,924.00",2011,8.55
United States Virgin Islands,2018,35,2018,104.68,188,,
Uruguay,2018,17502,2018,3449.285,660,2011,17.55
Uzbekistan,2018,44055.5,2018,32476.244,0,2011,12.05
Vanuatu,2018,1219,2018,292.68,"2,528.00",2011,23.95
Venezuela,2018,88205,2018,28887.118,"2,800.00",2011,25.35
Viet Nam,2018,31007,2018,95545.962,"3,444.00",2011,24.45
Wallis and Futuna Islands,2018,14,2018,11.661,129,2011,25.6
Western Sahara,2018,26600,2018,567.402,"1,110.00",,
Yemen,2018,52797,2018,28498.683,"1,906.00",2011,23.85
Zambia,2018,74339,2018,17351.708,0,2011,21.4
Zimbabwe,2018,38685,2018,14438.802,0,2011,21
