Country,ISO3,NBS_desc,Griscom 2017 potential,Griscom 2020 potential,GRISCOM DIFF,TNC mapper potential,IPCC_climate_zone,baseline_landuse,country_land_area,total_area,total_area_max,total_area_min,extent,extent_max,extent_min,extent_notes,intensity_desc,intensity_raw,intensity_raw_max,intensity_raw_min,intensity_unit,intensity,intensity_max,intensity_min,intensity_notes,BD_potential,potential,potential_100,potential_10
Norway,NOR,Protect forest,0,,,,,Natural Forest Area,36.510785,12.072,,,0.024144,,,,,,,,,401.7933333,,,,9.70089824,0,0,0
Oman,OMN,Protect forest,0,,,,,Natural Forest Area,30.95,0.002,,,0.000004,,,,,,,,,401.7933333,,,,0.001607173,0,0,0
Pakistan,PAK,Protect forest,0.138634797,,,,,Natural Forest Area,77.088,3.61434,,,0.00722868,,,,,,,,,401.7933333,,,,2.904435433,0.138634797,0.110907838,0.069317399
Palau,PLW,Protect forest,0,,,,,Natural Forest Area,0.046,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
Panama,PAN,Protect forest,7.773574538,9.76,1.986425462,,,Natural Forest Area,7.4177,4.1481,,,0.0082962,,,,,,,,,401.7933333,,,,3.333357852,9.76,7.808,4.88
Papua New Guinea,PNG,Protect forest,29.21637714,26.85,-2.36637714,,,Natural Forest Area,45.286,35.79557,,,0.07159114,,,,,,,,,401.7933333,,,,28.76484278,26.85,21.48,13.425
Paraguay,PRY,Protect forest,53.95809671,66.33,12.37190329,,,Natural Forest Area,39.73,15.9466,,,0.0318932,,,,,,,,,401.7933333,,,,12.81447514,66.33,53.064,33.165
Peru,PER,Protect forest,64.52120835,66.03,1.50879165,,,Natural Forest Area,128,71.2419,,,0.1424838,,,,,,,,,401.7933333,,,,57.24904095,66.03,52.824,33.015
Philippines,PHL,Protect forest,24.05685324,22.04,-2.01685324,,,Natural Forest Area,29.817,6.80807,,,0.01361614,,,,,,,,,401.7933333,,,,5.470874278,22.04,17.632,11.02
Poland,POL,Protect forest,0,,,,,Natural Forest Area,30.617,2.054,,,0.004108,,,,,,,,,401.7933333,,,,1.650567013,0,0,0
Portugal,PRT,Protect forest,0,,,,,Natural Forest Area,9.16056,1.056,,,0.002112,,,,,,,,,401.7933333,,,,0.84858752,0,0,0
Qatar,QAT,Protect forest,0,,,,,Natural Forest Area,1.149,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
Republic of Moldova,MDA,Protect forest,0,,,,,Natural Forest Area,3.28853,0.1677,,,0.0003354,,,,,,,,,401.7933333,,,,0.134761484,0,0,0
Romania,ROU,Protect forest,0,,,,,Natural Forest Area,23.008,6.03398,,,0.01206796,,,,,,,,,401.7933333,,,,4.848825875,0,0,0
Russia,RUS,Protect forest,0,,,,,Natural Forest Area,1637.687,796.4315,,,1.592863,,,,,,,,,401.7933333,,,,640.0017343,0,0,0
Rwanda,RWA,Protect forest,0.470393626,0.5,0.029606374,,,Natural Forest Area,2.467,0.126,,,0.000252,,,,,,,,,401.7933333,,,,0.10125192,0.5,0.4,0.25
Saint Kitts and Nevis,KNA,Protect forest,0,,,,,Natural Forest Area,0.026,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
Saint Lucia,LCA,Protect forest,0.020972119,,,,,Natural Forest Area,0.061,0.01745,,,0.0000349,,,,,,,,,401.7933333,,,,0.014022587,0.020972119,0.016777695,0.01048606
Saint Vincent and the Grenadines,VCT,Protect forest,0,,,,,Natural Forest Area,0.039,0.02824,,,0.00005648,,,,,,,,,401.7933333,,,,0.022693287,0,0,0
Samoa,WSM,Protect forest,0,,,,,Natural Forest Area,0.283,0.1567,,,0.0003134,,,,,,,,,401.7933333,,,,0.125922031,0,0,0
San Marino,SMR,Protect forest,0,,,,,Natural Forest Area,0.006,0.001,,,0.000002,,,,,,,,,401.7933333,,,,0.000803587,0,0,0
Saudi Arabia,SAU,Protect forest,0,0,0,,,Natural Forest Area,214.969,0.977,,,0.001954,,,,,,,,,401.7933333,,,,0.785104173,0,0,0
Senegal,SEN,Protect forest,0.0374707,0.04,0.0025293,,,Natural Forest Area,19.253,8.03616,,,0.01607232,,,,,,,,,401.7933333,,,,6.457751027,0.04,0.032,0.02
Serbia,SRB,Protect forest,0,,,,,Natural Forest Area,8.746,2.60682,,,0.00521364,,,,,,,,,401.7933333,,,,2.094805794,0,0,0
Seychelles,SYC,Protect forest,0,,,,,Natural Forest Area,0.046,0.02852,,,0.00005704,,,,,,,,,401.7933333,,,,0.022918292,0,0,0
Sierra Leone,SLE,Protect forest,11.67214056,8.71,-2.96214056,,,Natural Forest Area,7.218,2.51357,,,0.00502714,,,,,,,,,401.7933333,,,,2.019871338,8.71,6.968,4.355
Singapore,SGP,Protect forest,0,,,,,Natural Forest Area,0.0709,0.01629,,,0.00003258,,,,,,,,,401.7933333,,,,0.013090427,0,0,0
Slovakia,SVK,Protect forest,0,,,,,Natural Forest Area,4.808,1.17736,,,0.00235472,,,,,,,,,401.7933333,,,,0.946110798,0,0,0
Slovenia,SVN,Protect forest,0,,,,,Natural Forest Area,2.01364,1.19214,,,0.00238428,,,,,,,,,401.7933333,,,,0.957987809,0,0,0
Solomon Islands,SLB,Protect forest,0,2.49,2.49,,,Natural Forest Area,2.799,2.4987,,,0.0049974,,,,,,,,,401.7933333,,,,2.007922004,2.49,1.992,1.245
Somalia,SOM,Protect forest,0.057560066,0.07,0.012439934,,,Natural Forest Area,62.734,5.977,,,0.011954,,,,,,,,,401.7933333,,,,4.803037507,0.07,0.056,0.035
South Africa,ZAF,Protect forest,51.26257944,,,,,Natural Forest Area,121.309,13.90647,,,0.02781294,,,,,,,,,401.7933333,,,,11.17505387,51.26257944,41.01006355,25.63128972
South Sudan,SSD,Protect forest,0,,,,,Natural Forest Area,63.1928123,6.9691,,,0.0139382,,,,,,,,,401.7933333,,,,5.600275839,0,0,0
Spain,ESP,Protect forest,0,,,,,Natural Forest Area,49.9603479,15.98208,,,0.03196416,,,,,,,,,401.7933333,,,,12.84298639,0,0,0
Sri Lanka,LKA,Protect forest,0,2.64,2.64,,,Natural Forest Area,6.1864,1.86321,,,0.00372642,,,,,,,,,401.7933333,,,,1.497250713,2.64,2.112,1.32
Sudan,SDN,Protect forest,0.015281805,0.02,0.004718195,,,Natural Forest Area,184.9233715,18.22955,,,0.0364591,,,,,,,,,401.7933333,,,,14.64902332,0.02,0.016,0.01
Suriname,SUR,Protect forest,3.160010635,3.22,0.059989365,,,Natural Forest Area,15.6,15.18214,,,0.03036428,,,,,,,,,401.7933333,,,,12.20016528,3.22,2.576,1.61
Swaziland,SWZ,Protect forest,0,,,,,Natural Forest Area,1.72,0.38583,,,0.00077166,,,,,,,,,401.7933333,,,,0.310047844,0,0,0
Sweden,SWE,Protect forest,0,,,,,Natural Forest Area,40.731,14.068,,,0.028136,,,,,,,,,401.7933333,,,,11.30485723,0,0,0
Switzerland,CHE,Protect forest,0,,,,,Natural Forest Area,3.951603,1.11996,,,0.00223992,,,,,,,,,401.7933333,,,,0.899984923,0,0,0
Syrian Arab Republic,SYR,Protect forest,0,,,,,Natural Forest Area,18.363,0.31068,,,0.00062136,,,,,,,,,401.7933333,,,,0.249658306,0,0,0
Tajikistan,TJK,Protect forest,0,,,,,Natural Forest Area,13.879,0.30538,,,0.00061076,,,,,,,,,401.7933333,,,,0.245399296,0,0,0
Thailand,THA,Protect forest,38.56882023,45.14,6.57117977,,,Natural Forest Area,51.089,16.336,,,0.032672,,,,,,,,,401.7933333,,,,13.12739179,45.14,36.112,22.57
The former Yugoslav Republic of Macedonia,MKD,Protect forest,0,,,,,Natural Forest Area,2.522,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
Timor-Leste,TLS,Protect forest,0,0.7,0.7,,,Natural Forest Area,1.487,0.9211,,,0.0018422,,,,,,,,,401.7933333,,,,0.740183679,0.7,0.56,0.35
Togo,TGO,Protect forest,0.577251215,0.63,0.052748785,,,Natural Forest Area,5.439,1.23446,,,0.00246892,,,,,,,,,401.7933333,,,,0.991995597,0.63,0.504,0.315
Tonga,TON,Protect forest,0,,,,,Natural Forest Area,0.072,0.00795,,,0.0000159,,,,,,,,,401.7933333,,,,0.006388514,0,0,0
Trinidad and Tobago,TTO,Protect forest,0,0.57,0.57,,,Natural Forest Area,0.513,0.14749,,,0.00029498,,,,,,,,,401.7933333,,,,0.118520997,0.57,0.456,0.285
Tunisia,TUN,Protect forest,0,,,,,Natural Forest Area,15.536,0.4887,,,0.0009774,,,,,,,,,401.7933333,,,,0.392712804,0,0,0
Turkey,TUR,Protect forest,0,,,,,Natural Forest Area,76.963,21.20071,,,0.04240142,,,,,,,,,401.7933333,,,,17.03660788,0,0,0
Turkmenistan,TKM,Protect forest,0,,,,,Natural Forest Area,46.993,4.127,,,0.008254,,,,,,,,,401.7933333,,,,3.316402173,0,0,0
Uganda,UGA,Protect forest,12.85756761,14.07,1.21243239,,,Natural Forest Area,20.052,1.87275,,,0.0037455,,,,,,,,,401.7933333,,,,1.50491693,14.07,11.256,7.035
Ukraine,UKR,Protect forest,0,,,,,Natural Forest Area,57.94,4.842,,,0.009684,,,,,,,,,401.7933333,,,,3.89096664,0,0,0
United Arab Emirates,ARE,Protect forest,0,,,,,Natural Forest Area,7.102,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
United Kingdom,GBR,Protect forest,0,,,,,Natural Forest Area,24.193,0.344,,,0.000688,,,,,,,,,401.7933333,,,,0.276433813,0,0,0
United Republic of Tanzania,TZA,Protect forest,33.13893487,41.44,8.30106513,,,Natural Forest Area,88.58,47.53697,,,0.09507394,,,,,,,,,401.7933333,,,,38.20007527,41.44,33.152,20.72
United States,USA,Protect forest,0,,,,,Natural Forest Area,914.742,282.274,,,0.564548,,,,,,,,,401.7933333,,,,226.8316227,0,0,0
Uruguay,URY,Protect forest,3.636732507,,,,,Natural Forest Area,17.502,0.849,,,0.001698,,,,,,,,,401.7933333,,,,0.68224508,3.636732507,2.909386006,1.818366254
Uzbekistan,UZB,Protect forest,0,,,,,Natural Forest Area,44.0555,1.40867,,,0.00281734,,,,,,,,,401.7933333,,,,1.13198843,0,0,0
Vanuatu,VUT,Protect forest,0,,,,,Natural Forest Area,1.219,0,,,0,,,,,,,,,401.7933333,,,,0,0,0,0
Venezuela,VEN,Protect forest,30.92012467,34,3.07987533,,,Natural Forest Area,88.205,44.87275,,,0.0897455,,,,,,,,,401.7933333,,,,36.0591436,34,27.2,17
Viet Nam,VNM,Protect forest,47.65809469,54.59,6.93190531,,,Natural Forest Area,31.007,10.25552,,,0.02051104,,,,,,,,,401.7933333,,,,8.241199132,54.59,43.672,27.295
Yemen,YEM,Protect forest,0,0,0,,,Natural Forest Area,52.797,0.549,,,0.001098,,,,,,,,,401.7933333,,,,0.44116908,0,0,0
Zambia,ZMB,Protect forest,24.8228211,31.8,6.9771789,,,Natural Forest Area,74.339,44.76191,,,0.08952382,,,,,,,,,401.7933333,,,,35.97007405,31.8,25.44,15.9
Zimbabwe,ZWE,Protect forest,3.796056344,4.87,1.073943656,,,Natural Forest Area,38.685,17.33658,,,0.03467316,,,,,,,,,401.7933333,,,,13.93144453,4.87,3.896,2.435
Afghanistan,AFG,Protect grassland,,,,0.53,,Grass Loss,65.286,1.29E-16,,,1.29E-16,,,,,,,,,67.46666667,,,,8.69E-15,0.53,0.159,0
Albania,ALB,Protect grassland,,,,0.23,,Grass Loss,2.74,0,,,0,,,,,,,,,67.46666667,,,,0,0.23,0.069,0
Algeria,DZA,Protect grassland,,,,1.31,,Grass Loss,238.1741,0,,,0,,,,,,,,,67.46666667,,,,0,1.31,0.393,0
Andorra,AND,Protect grassland,,,,0,,Grass Loss,0.047,0.000118219,,,0.000118219,,,,,,,,,67.46666667,,,,0.007975816,0,0,0
Angola,AGO,Protect grassland,,,,0,,Grass Loss,124.67,0.11094782,,,0.11094782,,,,,,,,,68.93333333,,,,7.648003048,0,0,0
Antigua and Barbuda,ATG,Protect grassland,,,,0,,Grass Loss,0.044,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Argentina,ARG,Protect grassland,,,,43.1,,Grass Loss,273.669,0,,,0,,,,,,,,,67.46666667,,,,0,43.1,12.93,0
Armenia,ARM,Protect grassland,,,,0.21,,Grass Loss,2.847,0,,,0,,,,,,,,,67.46666667,,,,0,0.21,0.063,0
Australia,AUS,Protect grassland,,,,3.7,,Grass Loss,769.202,4.256563765,,,4.256563765,,,,,,,,,67.46666667,,,,287.1761687,3.7,1.11,0
Austria,AUT,Protect grassland,,,,0.13,,Grass Loss,8.252,0.007177814,,,0.007177814,,,,,,,,,67.46666667,,,,0.484263169,0.13,0.039,0
Azerbaijan,AZE,Protect grassland,,,,0.99,,Grass Loss,8.2654,0,,,0,,,,,,,,,67.46666667,,,,0,0.99,0.297,0
Bahamas,BHS,Protect grassland,,,,0,,Grass Loss,1.001,1.07E-20,,,1.07E-20,,,,,,,,,67.46666667,,,,7.20E-19,0,0,0
Bahrain,BHR,Protect grassland,,,,0,,Grass Loss,0.078,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Bangladesh,BGD,Protect grassland,,,,0,,Grass Loss,13.017,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Barbados,BRB,Protect grassland,,,,0,,Grass Loss,0.043,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Belarus,BLR,Protect grassland,,,,2.43,,Grass Loss,20.298,0.007999145,,,0.007999145,,,,,,,,,67.46666667,,,,0.53967567,2.43,0.729,0
Belgium,BEL,Protect grassland,,,,0.15,,Grass Loss,3.028,0.003104211,,,0.003104211,,,,,,,,,67.46666667,,,,0.209430737,0.15,0.045,0
Belize,BLZ,Protect grassland,,,,0.02,,Grass Loss,2.281,0,,,0,,,,,,,,,68.93333333,,,,0,0.02,0.006,0
Benin,BEN,Protect grassland,,,,0.28,,Grass Loss,11.276,0,,,0,,,,,,,,,68.93333333,,,,0,0.28,0.084,0
Bhutan,BTN,Protect grassland,,,,0,,Grass Loss,3.814,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Bolivia,BOL,Protect grassland,,,,1.51,,Grass Loss,108.33,0,,,0,,,,,,,,,68.93333333,,,,0,1.51,0.453,0
Bosnia and Herzegovina,BIH,Protect grassland,,,,0.04,,Grass Loss,5.12,0.005010379,,,0.005010379,,,,,,,,,67.46666667,,,,0.338033537,0.04,0.012,0
Botswana,BWA,Protect grassland,,,,0,,Grass Loss,56.673,2.48E-16,,,2.48E-16,,,,,,,,,68.93333333,,,,1.71E-14,0,0,0
Brazil,BRA,Protect grassland,,,,39.75,,Grass Loss,835.814,0.233121433,,,0.233121433,,,,,,,,,68.93333333,,,,16.06983748,39.75,11.925,0
Brunei Darussalam,BRN,Protect grassland,,,,0,,Grass Loss,0.527,7.13E-05,,,7.13E-05,,,,,,,,,67.46666667,,,,0.004808707,0,0,0
Bulgaria,BGR,Protect grassland,,,,0.31,,Grass Loss,10.856,0.016732692,,,0.016732692,,,,,,,,,67.46666667,,,,1.128898974,0.31,0.093,0
Burkina Faso,BFA,Protect grassland,,,,0.13,,Grass Loss,27.36,8.28E-17,,,8.28E-17,,,,,,,,,68.93333333,,,,5.71E-15,0.13,0.039,0
Burma,MMR,Protect grassland,,,,0.59,,Grass Loss,65.279,0.002131154,,,0.002131154,,,,,,,,,68.93333333,,,,0.146907538,0.59,0.177,0
Burundi,BDI,Protect grassland,,,,0.01,,Grass Loss,2.568,0.012517814,,,0.012517814,,,,,,,,,68.93333333,,,,0.862894629,0.01,0.003,0
Cambodia,KHM,Protect grassland,,,,0.16,,Grass Loss,17.652,0,,,0,,,,,,,,,68.93333333,,,,0,0.16,0.048,0
Cameroon,CMR,Protect grassland,,,,0.65,,Grass Loss,47.271,0,,,0,,,,,,,,,68.93333333,,,,0,0.65,0.195,0
Canada,CAN,Protect grassland,,,,63.5,,Grass Loss,896.559,0,,,0,,,,,,,,,68.38333333,,,,0,63.5,19.05,0
Cape Verde,CPV,Protect grassland,,,,0,,Grass Loss,0.403,2.56E-19,,,2.56E-19,,,,,,,,,67.46666667,,,,1.73E-17,0,0,0
Central African Republic,CAF,Protect grassland,,,,0,,Grass Loss,62.298,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Chad,TCD,Protect grassland,,,,0.06,,Grass Loss,125.92,3.50E-16,,,3.50E-16,,,,,,,,,68.93333333,,,,2.41E-14,0.06,0.018,0
Chile,CHL,Protect grassland,,,,3.98,,Grass Loss,74.3532,0,,,0,,,,,,,,,67.46666667,,,,0,3.98,1.194,0
China,CHN,Protect grassland,,,,49.44,,Grass Loss,938.821,0,,,0,,,,,,,,,67.46666667,,,,0,49.44,14.832,0
Colombia,COL,Protect grassland,,,,0,,Grass Loss,110.95,0.013905648,,,0.013905648,,,,,,,,,68.93333333,,,,0.958562653,0,0,0
Comoros,COM,Protect grassland,,,,0,,Grass Loss,0.1861,3.74E-32,,,3.74E-32,,,,,,,,,67.46666667,,,,2.52E-30,0,0,0
Congo,COG,Protect grassland,,,,0,,Grass Loss,34.15,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Cook Islands,COK,Protect grassland,,,,0,,Grass Loss,0.024,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Costa Rica,CRI,Protect grassland,,,,0,,Grass Loss,5.106,0.027747033,,,0.027747033,,,,,,,,,68.93333333,,,,1.912695488,0,0,0
Cote d'Ivoire,CIV,Protect grassland,,,,0.64,,Grass Loss,31.8,0,,,0,,,,,,,,,68.93333333,,,,0,0.64,0.192,0
Croatia,HRV,Protect grassland,,,,0.2,,Grass Loss,5.659,0.018901099,,,0.018901099,,,,,,,,,67.46666667,,,,1.275194139,0.2,0.06,0
Cuba,CUB,Protect grassland,,,,0.05,,Grass Loss,10.38,0.001533087,,,0.001533087,,,,,,,,,68.93333333,,,,0.1056808,0.05,0.015,0
Cyprus,CYP,Protect grassland,,,,0.19,,Grass Loss,0.924,8.81E-05,,,8.81E-05,,,,,,,,,67.46666667,,,,0.005946244,0.19,0.057,0
Czech Republic,CZE,Protect grassland,,,,0.38,,Grass Loss,7.72,0,,,0,,,,,,,,,67.46666667,,,,0,0.38,0.114,0
Democratic Republic of the Congo,COD,Protect grassland,,,,0.34,,Grass Loss,226.705,0,,,0,,,,,,,,,68.93333333,,,,0,0.34,0.102,0
Denmark,DNK,Protect grassland,,,,0.05,,Grass Loss,4,0,,,0,,,,,,,,,67.46666667,,,,0,0.05,0.015,0
Djibouti,DJI,Protect grassland,,,,0,,Grass Loss,2.318,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Dominica,DMA,Protect grassland,,,,0,,Grass Loss,0.075,8.98E-21,,,8.98E-21,,,,,,,,,68.93333333,,,,6.19E-19,0,0,0
Dominican Republic,DOM,Protect grassland,,,,0.03,,Grass Loss,4.831,0.000115385,,,0.000115385,,,,,,,,,68.93333333,,,,0.007953846,0.03,0.009,0
Ecuador,ECU,Protect grassland,,,,0,,Grass Loss,24.836,0.019936761,,,0.019936761,,,,,,,,,68.93333333,,,,1.374307394,0,0,0
Egypt,EGY,Protect grassland,,,,0.05,,Grass Loss,99.545,0,,,0,,,,,,,,,67.46666667,,,,0,0.05,0.015,0
El Salvador,SLV,Protect grassland,,,,0,,Grass Loss,2.072,0.001670089,,,0.001670089,,,,,,,,,68.93333333,,,,0.115124806,0,0,0
Equatorial Guinea,GNQ,Protect grassland,,,,0,,Grass Loss,2.805,0.000636309,,,0.000636309,,,,,,,,,68.93333333,,,,0.043862866,0,0,0
Eritrea,ERI,Protect grassland,,,,0.21,,Grass Loss,10.1,0.003206838,,,0.003206838,,,,,,,,,68.93333333,,,,0.221058006,0.21,0.063,0
Estonia,EST,Protect grassland,,,,0.08,,Grass Loss,4.347,0,,,0,,,,,,,,,68.38333333,,,,0,0.08,0.024,0
Ethiopia,ETH,Protect grassland,,,,1.28,,Grass Loss,112.930039,0,,,0,,,,,,,,,68.93333333,,,,0,1.28,0.384,0
Fiji,FJI,Protect grassland,,,,0,,Grass Loss,1.827,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Finland,FIN,Protect grassland,,,,0.03,,Grass Loss,30.392,0.004005142,,,0.004005142,,,,,,,,,68.38333333,,,,0.27388494,0.03,0.009,0
France,FRA,Protect grassland,,,,2.8,,Grass Loss,54.7557,0.096836847,,,0.096836847,,,,,,,,,67.46666667,,,,6.533259261,2.8,0.84,0
French Guiana,GUF,Protect grassland,,,,0,,Grass Loss,#N/A,NA,,,NA,,,,,,,,,68.93333333,,,,0,0,0,0
Gabon,GAB,Protect grassland,,,,0.08,,Grass Loss,25.767,0.091026251,,,0.091026251,,,,,,,,,68.93333333,,,,6.274742903,0.08,0.024,0
Gambia,GMB,Protect grassland,,,,0,,Grass Loss,1.012,0.008712348,,,0.008712348,,,,,,,,,68.93333333,,,,0.600571201,0,0,0
Georgia,GEO,Protect grassland,,,,0.37,,Grass Loss,6.949,0.002583516,,,0.002583516,,,,,,,,,67.46666667,,,,0.174301245,0.37,0.111,0
Germany,DEU,Protect grassland,,,,0.7,,Grass Loss,34.938,0.038669231,,,0.038669231,,,,,,,,,67.46666667,,,,2.608884103,0.7,0.21,0
Ghana,GHA,Protect grassland,,,,0.62,,Grass Loss,22.754,0.036526899,,,0.036526899,,,,,,,,,68.93333333,,,,2.51792089,0.62,0.186,0
Greece,GRC,Protect grassland,,,,0.61,,Grass Loss,12.89,0.069222672,,,0.069222672,,,,,,,,,67.46666667,,,,4.670222942,0.61,0.183,0
Greenland,GRL,Protect grassland,,,,0,,Grass Loss,41.045,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Grenada,GRD,Protect grassland,,,,0,,Grass Loss,0.034,5.33E-21,,,5.33E-21,,,,,,,,,68.93333333,,,,3.68E-19,0,0,0
Guatemala,GTM,Protect grassland,,,,0.04,,Grass Loss,10.716,0.002238664,,,0.002238664,,,,,,,,,68.93333333,,,,0.15431857,0.04,0.012,0
Guinea,GIN,Protect grassland,,,,0,,Grass Loss,24.572,0.000160324,,,0.000160324,,,,,,,,,68.93333333,,,,0.01105166,0,0,0
Guinea-Bissau,GNB,Protect grassland,,,,0,,Grass Loss,2.812,0.03042597,,,0.03042597,,,,,,,,,68.93333333,,,,2.097363507,0,0,0
Guyana,GUY,Protect grassland,,,,0.15,,Grass Loss,19.685,0.012993899,,,0.012993899,,,,,,,,,68.93333333,,,,0.895712756,0.15,0.045,0
Haiti,HTI,Protect grassland,,,,0.17,,Grass Loss,2.756,0.000327935,,,0.000327935,,,,,,,,,68.93333333,,,,0.022605668,0.17,0.051,0
Honduras,HND,Protect grassland,,,,0.04,,Grass Loss,11.189,0,,,0,,,,,,,,,68.93333333,,,,0,0.04,0.012,0
Hungary,HUN,Protect grassland,,,,0.16,,Grass Loss,9.126,0.014893522,,,0.014893522,,,,,,,,,67.46666667,,,,1.004816302,0.16,0.048,0
Iceland,ISL,Protect grassland,,,,0,,Grass Loss,10.083,0.000540283,,,0.000540283,,,,,,,,,67.46666667,,,,0.03645112,0,0,0
India,IND,Protect grassland,,,,14.48,,Grass Loss,297.319,0.055092915,,,0.055092915,,,,,,,,,68.93333333,,,,3.797738273,14.48,4.344,0
Indonesia,IDN,Protect grassland,,,,4.2,,Grass Loss,187.7519,0.041078543,,,0.041078543,,,,,,,,,68.93333333,,,,2.831680864,4.2,1.26,0
Iran (Islamic Republic of),IRN,Protect grassland,,,,1.29,,Grass Loss,162.876,0.527207287,,,0.527207287,,,,,,,,,67.46666667,,,,35.56891833,1.29,0.387,0
Iraq,IRQ,Protect grassland,,,,0.44,,Grass Loss,43.4128,3.45E-18,,,3.45E-18,,,,,,,,,67.46666667,,,,2.33E-16,0.44,0.132,0
Ireland,IRL,Protect grassland,,,,0.26,,Grass Loss,6.889,0.019534729,,,0.019534729,,,,,,,,,67.46666667,,,,1.317943033,0.26,0.078,0
Israel,ISR,Protect grassland,,,,0.1,,Grass Loss,2.164,5.02E-05,,,5.02E-05,,,,,,,,,67.46666667,,,,0.003386991,0.1,0.03,0
Italy,ITA,Protect grassland,,,,0.69,,Grass Loss,29.773,0.03052664,,,0.03052664,,,,,,,,,67.46666667,,,,2.059530623,0.69,0.207,0
Jamaica,JAM,Protect grassland,,,,0,,Grass Loss,1.083,0.00092247,,,0.00092247,,,,,,,,,68.93333333,,,,0.063588907,0,0,0
Japan,JPN,Protect grassland,,,,0.79,,Grass Loss,36.45,0.011032468,,,0.011032468,,,,,,,,,67.46666667,,,,0.74432381,0.79,0.237,0
Jordan,JOR,Protect grassland,,,,0.05,,Grass Loss,8.878,0.001863765,,,0.001863765,,,,,,,,,67.46666667,,,,0.125742024,0.05,0.015,0
Kazakhstan,KAZ,Protect grassland,,,,5.43,,Grass Loss,269.97,0,,,0,,,,,,,,,67.46666667,,,,0,5.43,1.629,0
Kenya,KEN,Protect grassland,,,,1.66,,Grass Loss,56.914,0,,,0,,,,,,,,,68.93333333,,,,0,1.66,0.498,0
Kiribati,KIR,Protect grassland,,,,0,,Grass Loss,0.081,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
"Korea, Democratic People's Republic of",PRK,Protect grassland,,,,0.26,,Grass Loss,12.041,0,,,0,,,,,,,,,67.46666667,,,,0,0.26,0.078,0
"Korea, Republic of",KOR,Protect grassland,,,,0.09,,Grass Loss,9.752,0.000386417,,,0.000386417,,,,,,,,,67.46666667,,,,0.026070267,0.09,0.027,0
Kuwait,KWT,Protect grassland,,,,0,,Grass Loss,1.782,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Kyrgyzstan,KGZ,Protect grassland,,,,0.63,,Grass Loss,19.18,0,,,0,,,,,,,,,67.46666667,,,,0,0.63,0.189,0
Lao People's Democratic Republic,LAO,Protect grassland,,,,0,,Grass Loss,23.08,0.004078745,,,0.004078745,,,,,,,,,68.93333333,,,,0.281161484,0,0,0
Latvia,LVA,Protect grassland,,,,0.14,,Grass Loss,6.209,0.005269231,,,0.005269231,,,,,,,,,67.46666667,,,,0.355497436,0.14,0.042,0
Lebanon,LBN,Protect grassland,,,,0.16,,Grass Loss,1.023,0,,,0,,,,,,,,,67.46666667,,,,0,0.16,0.048,0
Lesotho,LSO,Protect grassland,,,,0,,Grass Loss,3.036,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Liberia,LBR,Protect grassland,,,,0.02,,Grass Loss,9.632,0.025372543,,,0.025372543,,,,,,,,,68.93333333,,,,1.74901393,0.02,0.006,0
Libyan Arab Jamahiriya,LBY,Protect grassland,,,,0.07,,Grass Loss,175.954,0,,,0,,,,,,,,,67.46666667,,,,0,0.07,0.021,0
Liechtenstein,LIE,Protect grassland,,,,0,,Grass Loss,0.016,4.94E-05,,,4.94E-05,,,,,,,,,67.46666667,,,,0.003332362,0,0,0
Lithuania,LTU,Protect grassland,,,,1,,Grass Loss,6.263,0,,,0,,,,,,,,,67.46666667,,,,0,1,0.3,0
Luxembourg,LUX,Protect grassland,,,,0,,Grass Loss,0.243,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Madagascar,MDG,Protect grassland,,,,0,,Grass Loss,58.18,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Malawi,MWI,Protect grassland,,,,0,,Grass Loss,9.428,0,,,0,,,,,,,,,68.93333333,,,,0,0,0,0
Malaysia,MYS,Protect grassland,,,,0.01,,Grass Loss,32.855,0,,,0,,,,,,,,,68.93333333,,,,0,0.01,0.003,0
Maldives,MDV,Protect grassland,,,,0,,Grass Loss,0.03,0,,,0,,,,,,,,,67.46666667,,,,0,0,0,0
Mali,MLI,Protect grassland,,,,1.88,,Grass Loss,122.019,0,,,0,,,,,,,,,68.93333333,,,,0,1.88,0.564,0
