Country for Scenarios,FAO Country,Unit,Value
Qatar,Qatar,Head,14168
,Republic of Korea,Head,3520886
Republic of Moldova,Republic of Moldova,Head,167423
,Réunion,Head,31000
Romania,Romania,Head,2011100
Russia,Russian Federation,Head,18294228
Rwanda,Rwanda,Head,1293768
,"Saint Helena, Ascension and Tristan da Cunha",Head,665
Saint Kitts and Nevis,Saint Kitts and Nevis,Head,2067
Saint Lucia,Saint Lucia,Head,10854
,Saint Pierre and Miquelon,Head,38
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Head,3903
Samoa,Samoa,Head,53151
San Marino,,,
,Sao Tome and Principe,Head,1407
Saudi Arabia,Saudi Arabia,Head,368428
Senegal,Senegal,Head,3615523
Serbia,Serbia,Head,878336
Seychelles,Seychelles,Head,261
Sierra Leone,Sierra Leone,Head,702303
Singapore,Singapore,Head,179
Slovakia,Slovakia,Head,439826
Slovenia,Slovenia,Head,479614
Solomon Islands,Solomon Islands,Head,15446
Somalia,Somalia,Head,4749973
South Africa,South Africa,Head,12789515
South Sudan,South Sudan,Head,12074116
Spain,Spain,Head,6510592
Sri Lanka,Sri Lanka,Head,1110740
Sudan,Sudan,Head,31223000
Suriname,Suriname,Head,34341
Swaziland,,,
Sweden,Sweden,Head,1435450
Switzerland,Switzerland,Head,1543345
Syrian Arab Republic,Syrian Arab Republic,Head,1090000
Tajikistan,Tajikistan,Head,2327531
Thailand,Thailand,Head,4656654
The former Yugoslav Republic of Macedonia,,,
Timor-Leste,Timor-Leste,Head,209104
Togo,Togo,Head,453088
Tonga,Tonga,Head,11933
Trinidad and Tobago,Trinidad and Tobago,Head,36303
Tunisia,Tunisia,Head,649690
Turkey,Turkey,Head,15943586
Turkmenistan,Turkmenistan,Head,2217448
Uganda,Uganda,Head,15767794
Ukraine,Ukraine,Head,3530800
United Arab Emirates,United Arab Emirates,Head,104969
United Kingdom,United Kingdom of Great Britain and Northern Ireland,Head,9892000
United Republic of Tanzania,United Republic of Tanzania,Head,27427658
United States,United States of America,Head,94298000
,United States Virgin Islands,Head,8128
Uruguay,Uruguay,Head,11468000
Uzbekistan,Uzbekistan,Head,12814000
Vanuatu,Vanuatu,Head,176738
Venezuela,Venezuela (Bolivarian Republic of),Head,16960156
Viet Nam,Viet Nam,Head,5802907
,Wallis and Futuna Islands,Head,60
,Western Sahara,Head,
Yemen,Yemen,Head,1792897
Zambia,Zambia,Head,4172422
Zimbabwe,Zimbabwe,Head,5446674
